1:[memory/buddy_malloc.cpp:62]blockShiftBit: 9(512), blockPow: 13(8192), buffer: 0x10e7ca000
2:[memory/buddy_malloc.cpp:84]size: 4096, pow(size): 3(8 blocks), idx: 1023, offset: 0, alloc: 0x10e7ca000
654:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, size: 24, alloc: 0x10e7ca0b0
665:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 008, free: 0x10e7ca0e0}, size: 24, alloc: 0x10e7ca0c8
678:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, addr: 0x10e7ca0c8, wasEmpty: 0
682:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 006, free: 0x10e7ca0b0}, addr: 0x10e7ca0b0, wasEmpty: 0
686:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, size: 24, alloc: 0x10e7ca0b0
697:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 008, free: 0x10e7ca0e0}, size: 24, alloc: 0x10e7ca0c8
710:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, addr: 0x10e7ca0c8, wasEmpty: 0
714:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 006, free: 0x10e7ca0b0}, addr: 0x10e7ca0b0, wasEmpty: 0
718:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, size: 24, alloc: 0x10e7ca0b0
729:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 008, free: 0x10e7ca0e0}, size: 24, alloc: 0x10e7ca0c8
742:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, addr: 0x10e7ca0c8, wasEmpty: 0
746:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 006, free: 0x10e7ca0b0}, addr: 0x10e7ca0b0, wasEmpty: 0
750:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, size: 24, alloc: 0x10e7ca0b0
761:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 008, free: 0x10e7ca0e0}, size: 24, alloc: 0x10e7ca0c8
774:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, addr: 0x10e7ca0c8, wasEmpty: 0
778:[memory/slab_malloc.cpp:83]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 006, free: 0x10e7ca0b0}, addr: 0x10e7ca0b0, wasEmpty: 0
782:[memory/slab_malloc.cpp:41]slab: {idx: 2, this: 0x10e7ca000, prev: 0x10e7ca000, next: 0x10e7ca000, size: 024, allocated: 007, free: 0x10e7ca0c8}, size: 24, alloc: 0x10e7ca0b0
